originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.1,,,add,,5.2,usmtf,AdditionalGroupInstructionsSimpleType,A data type for an attribute that further refines the task grouping category.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalGroupInstructionsType,A data type for an attribute that further refines the task grouping category.,,usmtf:AdditionalGroupInstructionsSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSkillIDSimpleType,A data type for an identifier of an additional skill.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSkillIDType,A data type for an identifier of an additional skill.,,usmtf:AdditionalSkillIDSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSpaceSystemIDSimpleType,A data type for an identifier for any additional space system being tasked.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSpaceSystemIDType,A data type for an identifier for any additional space system being tasked.,,usmtf:AdditionalSpaceSystemIDSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSymbolInformationSimpleType,A data type for additional information regarding the symbol.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionalSymbolInformationType,A data type for additional information regarding the symbol.,,usmtf:AdditionalSymbolInformationSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionQualifierCodeSimpleType,A data type for a qualifier to indicate set(s) are to be added.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdditionQualifierCodeType,A data type for a qualifier to indicate set(s) are to be added.,,usmtf:AdditionQualifierCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddresseeSimpleType,A data type for a person to whom a message is addressed.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
